Nome,Acervo,Add,Arquivos e mídia,Coleção,Contexto Historico,Data de Produção,Dimensões,Doador,Estado de Conservação,Local de Origem,Material,Nº de Inventário,Período/Época,Responsável,Técnica,URL,URL Adicional
Divino Espírito Santo,Religiosa,Yes,Metadados/20251104_165603(1)(1).jpg,Religioso,,,,Igreja Católica,Excelente,,,,Ano aproximado: 1930,,,https://drive.google.com/file/d/1yBvQudH2Ly9sHVWCWYiZP_u8_fYVusPA/view?usp=drive_link,
São Francisco,Religiosa,Yes,Metadados/20251104_165807(1)(1)(1).jpg,Religioso,,,,Igreja Católica,Excelente,,,0657,,,,https://drive.google.com/file/d/1aXPqsZzZECU5BJG_DcSVX3CX7x4cN2ik/view?usp=drive_link,
Castiçal,Religiosa,Yes,Metadados/20251104_170801(1)(1).jpg,Religioso,,,,Igreja Católica,Excelente,,,0082,Ano aproximado: 1880-1920,,,https://drive.google.com/file/d/1ObXNeKYBoCFleGvnEdEyvzpgU2Rq0YQo/view?usp=drive_link,
Vasos,Religiosa,Yes,Metadados/20251104_170912(1).jpg,Religioso,,,,Igreja Católica,Excelente,,,0069/0070,Ano aproximado: 1930,,,https://drive.google.com/file/d/193JBvvNLEn8fVMgcI8cUr0R_dayUXnmO/view?usp=drive_link,
Castiçais,Religiosa,Yes,Metadados/20251104_170648(1)(1)(1).jpg,Religioso,,,,Igreja Católica,Excelente,,,0067/0068,Aproximadamente: 1930,,,https://drive.google.com/file/d/193JBvvNLEn8fVMgcI8cUr0R_dayUXnmO/view?usp=drive_link,
Terço,Religiosa,Yes,Metadados/20251104_170045(1).jpg,Religioso,,,,Igreja Católica,Excelente,,,0062,,,,https://drive.google.com/file/d/10DB5cJlU1gO1aGk_OEB2tqDUyHaLxEFX/view?usp=drive_link,
Incensório Braseiro,Religiosa,No,Metadados/Incensrio_Braseiro_N_0063.jpg,Religioso,,,,Igreja Católica,Excelente,,,0063,Ano Aproximado: 1930,,,,
Bandeja para Hóstia,Religiosa,Yes,Metadados/20251215_163030.heic,"Cerâmica, Religioso",,,,Igreja Católica,Excelente,,,0083,Ano Aproximado: Início do séc. XX,,,https://drive.google.com/file/d/1OvxN9UAMV2A5CVYAw8DUV8iqzmtkf0jX/view?usp=drive_link,
Crucifixo,Religiosa,No,Metadados/Crucifixo_N_0065.jpg,Religioso,,,,Igreja Católica,Excelente,,,0065,Ano Aproximado: 1930,,,,
"Dalmática (1970) - Pertenceu a D. Jaime de Barros Câmara - ""Jubileu de Ouro Sacerdotal”",Religiosa,No,Metadados/Dalmtica_.png,Religioso,,,,Igreja Católica,Excelente,,,,Ano Aproximado: 1970,"Pertenceu a D. Jaime de Barros Câmara

""Jubileu de Ouro Sacerdotal”",,,
Missal Romano,Religiosa,No,Metadados/Missal_Romano_N_0084.jpg,Religioso,,,,Igreja Católica,Excelente,,,0084,Ano Aproximado: 1930,,,,
Púlpito,Religiosa,No,Metadados/20251215_163059.heic,"Mobiliário, Religioso",,,,Igreja Católica,Excelente,,,0091,Ano Aproximado: 1930,,,,
Bombonier,Costumes do Passado,No,Metadados/17072025-IMG_0514_(1).jpg,"Utensílios Domésticos, Vidraria","
A Bombonier pertencia à Sra. Adélia Gama Ferreira de Mello e era utilizada no início do século XX para guardar guloseimas.
A peça é feita de vidro com detalhes florais esculpidos, possuindo tampa e alça em metal.
Esses recipientes eram comuns em casas elegantes da época, sendo utilizados tanto como objeto decorativo quanto como utensílio de servir doces, representando o gosto refinado e os costumes domésticos do período.",,,,Excelente,,Vidro e Metal,,Início do Século XX,Proprietária: Adélia Gama Ferreira de Mello,Vidro moldado e esculpido com detalhes florais; metal fundido e trabalhado (tampa e alça),https://drive.google.com/file/d/12v6W-ginufuXWTKCig9oqEX9CNy3Pkys/view?usp=sharing,
Jarro e Conjunto de Xícaras,Costumes do Passado,Yes,Metadados/17072025-IMG_0519.jpg,"Porcelana, Religioso, Utensílios Domésticos","O jarro e o conjunto de três xícaras de porcelana com tema religioso pertenciam ao Sr. José Ferreira de Mello.
Essas peças faziam parte dos presentes recebidos por ocasião de seu casamento em 1920, representando o costume da época de oferecer objetos de uso doméstico e valor simbólico como lembrança matrimonial.
As porcelanas com temas religiosos eram muito apreciadas no início do século XX, refletindo o gosto estético e a religiosidade presentes nos lares das famílias tradicionais catarinenses.",,,,Excelente,,Porcelana,,Início do século XX,Proprietário: José Ferreira de Mello,Porcelana moldada e pintada com decoração de tema religioso,https://drive.google.com/file/d/195dlh-WCGE9AUBbmjQKOlCZ1p9g2FPQi/view?usp=drive_link,
A Saga dos Ferreiras de Mello,Costumes do Passado,Yes,"Metadados/Arvore.heic, Metadados/17072025-IMG_0532_(3).jpg, Metadados/17072025-IMG_0528_(1).jpg, Metadados/17072025-IMG_0530_(1).jpg, Metadados/17072025-_MG_6640_(1).jpg, Metadados/17072025-_MG_6639_(2).jpg, Metadados/17072025-_MG_6637_(1).jpg, Metadados/17072025-_MG_6634_(1).jpg","Documento Textual, Registro Histórico","Entre os anos de 1748 e 1756, cerca de 4.500 pessoas oriundas dos Açores e da Ilha da Madeira foram trazidas para colonizar o litoral de Santa Catarina, fundando diversas povoações, entre elas São José da Terra Firme.

Por volta de 1750, chegaram imigrantes das ilhas do Pico e Terceira, incluindo membros da família Ferreira de Mello.
Um de seus descendentes, Manoel Ferreira de Mello, vindo da ilha do Pico, construiu no final do século XVIII um suntuoso sobrado, que se tornaria símbolo da história de São José e palco de diversos acontecimentos políticos e sociais.

No casarão nasceu, em 1809, o Tenente-Coronel Luiz Ferreira do Nascimento Mello, figura de destaque na política catarinense, que atuou como vereador, deputado, presidente da Assembleia Provincial e Vice-Presidente da Província de Santa Catarina — chegando a assumir o governo em alguns períodos.
Em 1845, durante a visita imperial de Dom Pedro II à vila de São José, Luiz Ferreira do Nascimento Mello foi agraciado com as Ordens de Cristo e da Rosa.

O sobrado também abrigava, em seu piso inferior, uma senzala destinada aos escravizados da família, evidenciando aspectos da estrutura social da época.
O casarão permaneceu sob posse da família até 1913 e abrigou, além da residência, estabelecimentos comerciais e o quartel da Guarda Nacional.

Reconhecido como um marco histórico e arquitetônico, foi tombado em 1980 pela Fundação Catarinense de Cultura.

Entre 1984 e 1985, passou por uma ampla reforma conduzida pela Prefeitura Municipal de São José, e em 1988 reabriu ao público com dupla função:
• Piso inferior: Biblioteca Pública Municipal
• Piso superior: Museu Histórico Municipal de São José",Entre 1750 e 1913 (com eventos até 1988 relacionados ao casarão da família),,,,,Documento textual / registro histórico,,Século XVIII ao início do século XX,Família Ferreira de Mello / Prefeitura Municipal de São José / Fundação Catarinense de Cultura,,https://drive.google.com/drive/folders/1VnHddmUsXPqZiOJPjh5CKyiA3tkNN8Vc,
Bolsas,Costumes do Passado,No,"Metadados/17072025-IMG_0503_(1).jpg, Metadados/17072025-IMG_0505_(1).jpg","Acessórios de Moda, Têxtil","A bolsa pertencia à Sra. Adélia Gama Ferreira de Mello, natural de Brusque (SC), nascida em 03 de julho de 1900.
Era casada com o Sr. João Ferreira de Mello, que mantinha correspondência com seu pai, João Luiz Ferreira de Mello.
A peça é feita em alpaca, material metálico muito utilizado na época por seu brilho semelhante à prata.
Essas bolsas eram comuns entre mulheres das classes médias e altas nas festas e eventos sociais do início do século XX, simbolizando elegância e refinamento.",Aproximadamente entre 1900 e 1920,,,Excelente,,Alpaca,,Início do século XX,Proprietária: Adélia Gama Ferreira de Mello,,https://drive.google.com/drive/folders/157J0gT24eQnukL0NwEWrBEIh6ndDibqn?usp=drive_link,
Adolpho Mello,Costumes do Passado,No,"Metadados/17072025-_MG_6643_(2).jpg, Metadados/17072025-_MG_6647_(1).jpg, Metadados/17072025-_MG_6644_(1).jpg","Biográfica, Musical","João Adolpho Ferreira de Mello, conhecido como Adolpho Mello, nasceu em 20 de outubro de 1862, em São José (SC). Foi um dos maiores musicistas de sua época, violinista e maestro renomado, reconhecido por seu talento e dedicação à música. Apresentou-se em diversas cidades de Santa Catarina, incluindo São José, Desterro (atual Florianópolis) e Laguna. Recusou o cargo de primeiro violino do Teatro Lírico do Rio de Janeiro por modéstia. Publicou em 1901 o livro “Pequena arte da expressão do violino ou nuanças que fazem bem à beleza da execução” e deixou 14 óperas para violino e piano. Faleceu em 1º de novembro de 1926, deixando um legado artístico e cultural marcante. Em sua homenagem, o Theatro Municipal de São José passou a se chamar Theatro Adolpho Mello em 1981.

Principais Composições:
• Acalentando Berceuse / Adágio da Sonata de Beethoven
• Ária e Trêmulo Op. 3 / Ária Variada (Carnaval)
• Canários / Canção n° 2 Op. 24
• Capricho e Tarantella Op. 4 / Legenda Op. 17
• Marta de Flotow (Popourri) / Meditação (Melodia)
• Nas Selvas (Melodia) / Nostalgia Op. 7
• Primitivas Op. 4 / Reminiscências (Fantasia)
• Rhapsodia Op. 18 / Romance e Mazurka Op. 18
• Serenata / Souvenir de Verdi (Fantasia)
• Tarantella n° 2 Op. 11",1862 – 1926,,,Excelente,,,,Final do século XIX – início do século XX,Adolpho Mello,Composição musical para violino e piano,https://drive.google.com/drive/folders/18UF1LwJanOB2ZTAkbeHdb5NqUbms9IIG?usp=drive_link,
Chapéus,Costumes do Passado,Yes,"Metadados/17072025-IMG_0501_(1).jpg, Metadados/17072025-IMG_0507_(1).jpg, Metadados/17072025-IMG_0496_(1).jpg, Metadados/17072025-IMG_0491_(2).jpg","Acessórios de Moda, Têxtil","Os três chapéus pertenciam à Sra. Alcídia Sanford Ferreira de Mello, carinhosamente chamada de “Francesa” pelos amigos. Nascida em 11 de junho de 1895, Alcídia casou-se com Áureo Ferreira de Mello em 1913.
Era conhecida como uma mulher elegante e extremamente vaidosa.
Os chapéus foram utilizados entre as décadas de 1930 e 1960, refletindo o estilo e a moda feminina da época, além de revelarem aspectos da identidade social e estética das mulheres de classe média e alta do período.",Entre 1930 e 1960,,,,,,,"Décadas de 1930, 1940, 1950 e 1960",Proprietária: Alcídia Sanford Ferreira de Mello,,https://drive.google.com/drive/folders/1JxRov7q4yGkeAerF5G-76NQsHfE6rKd0?usp=drive_link,
Quepe,Acervo Militar,Yes,Metadados/20251215_162937.heic,Militar,,,aprox. 25-30cm de diâmetro,,Bom,,"Tecido (provavelmente algodão ou linho branco), couro (na pala/aba) e fios metálicos dourados.",,Década de 1940,,Costura industrial e alfaiataria militar.,https://drive.google.com/drive/folders/1EvUkfk28lAvURYH_xCdfGqF-_4qdGs-z?usp=drive_link,
Cruzado (1986-1989),Coleção Numismática,Yes,"Metadados/17072025-_MG_6680_(1).jpg, Metadados/17072025-_MG_6670_(1).jpg",Sistema monetário,"Durante a transição do cruzeiro para o cruzado, o padrão visual das cédulas foi mantido. A moeda perdeu três zeros: 1 000 cruzeiros passaram a valer 1 cruzado. Nos primeiros meses, as cédulas antigas foram carimbadas com o novo valor para circulação provisória.",,,,Excelente,Brasil,Papel-moeda,,1986–1989,,Impressão em papel,https://drive.google.com/drive/folders/1ou5zcC-Z8PyWDZcWN21OpDMFU7esFch-?usp=drive_link,
Cruzado Novo (1989-1990),Coleção Numismática,No,"Metadados/17072025-_MG_6668_(1).jpg, Metadados/17072025-_MG_6667_(1).jpg",Sistema monetário,"O cruzado novo substituiu o cruzado na segunda reforma monetária do governo José Sarney. A moeda novamente perdeu três zeros, e durante o período de transição as antigas cédulas foram carimbadas com o novo valor. Posteriormente, novas cédulas específicas do cruzado novo foram emitidas.",,,,Excelente,Brasil,Papel-moeda,,1989–1990,,Impressão em papel,https://drive.google.com/drive/folders/1V32bhZ7rt-QOuVcf0Mv_0XeN3I-4TbpZ?usp=drive_link,
Cruzeiro (1942–1967),Coleção Numismática,Yes,"Metadados/17072025-_MG_6654_(1).jpg, Metadados/17072025-_MG_6657_(1).jpg",Sistema monetário,"Criado em 1942 para substituir o mil-réis, cuja estrutura em milésimos gerava confusões nas transações, o cruzeiro introduziu pela primeira vez o sistema monetário com centavos no Brasil. A equivalência inicial foi de 1 cruzeiro para 1.000 réis — ou um conto de réis.",,,,Excelente,Brasil,Papel-moeda,,1942–1967,,Impressão em papel,https://drive.google.com/drive/folders/1rUmOoKUrGgZWlQJG2d1MwFHou4Obtgq2?usp=drive_link,
Cruzeiro (1990–1993),Coleção Numismática,Yes,"Metadados/17072025-_MG_6675_(1).jpg, Metadados/17072025-_MG_6677_(1).jpg, Metadados/17072025-_MG_6678_(1).jpg, Metadados/17072025-_MG_6680_(1)_(1).jpg",Sistema monetário,"Em 1990, pela terceira vez, a moeda brasileira voltou a se chamar cruzeiro, substituindo o cruzado novo sem alterar seu valor. A hiperinflação desse período provocou rápida desvalorização da moeda, levando à criação de cédulas com valores elevados. Em apenas três anos, já circulavam notas de 50.000 cruzeiros.",,,,Excelente,Brasil,Papel-moeda,,1990–1993,,Impressão em papel,https://drive.google.com/drive/folders/1wEQ4ri-DH5onjVOipJlVrIMlf8W-rSTN?usp=drive_link,
Cruzeiro Novo (1967–1970),Coleção Numismática,No,"Metadados/17072025-_MG_6654_(1)_(1).jpg, Metadados/17072025-_MG_6657_(1)_(1).jpg",Sistema monetário,"O cruzeiro novo marcou uma reforma monetária que retirou três zeros da moeda anterior. As mesmas cédulas do cruzeiro foram usadas durante a transição, recebendo um carimbo com o novo valor. Assim, 1.000 cruzeiros passaram a equivaler a 1 cruzeiro novo.",,,,Excelente,Brasil,Papel-moeda,,1967–1970,,Impressão em papel; carimbo de revalorização,https://drive.google.com/drive/folders/1exXDheOBDqGYdtgVl49kQImX-7csUTTT?usp=drive_link,
